"Name","Type","Compliant","Issues"
"nsg-web-prod","Microsoft.Network/networkSecurityGroups","True",""
"nsg-app-prod","Microsoft.Network/networkSecurityGroups","True",""
"vnet-core-prod","Microsoft.Network/virtualNetworks","True",""
"nsg-db-test","Microsoft.Network/networkSecurityGroups","True",""
"vnet-dmz-test","Microsoft.Network/virtualNetworks","True",""
"rt-egress-prod","Microsoft.Network/routeTables","True",""
"vnet-legacy","Microsoft.Network/virtualNetworks","True",""
"rt-internal","Microsoft.Network/routeTables","True",""
